City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,nova xavantina,-14.6667,-52.35,22.74,96,90,0.45,BR,1711875582
82,thompson,55.7435,-97.8558,-17.91,85,0,2.06,CA,1711875583
83,nago,26.5881,127.9761,24.24,87,100,10.69,JP,1711875583
84,yomju-up,39.8933,124.5981,8.84,35,27,3.39,KP,1711875584
85,adamstown,-25.066,-130.1015,22.55,71,98,13.77,PN,1711875584
86,sitka,57.0531,-135.33,5.87,98,100,4.43,US,1711875585
87,puerto ayora,-0.7393,-90.3518,24.75,96,56,2.65,EC,1711875585
88,cururupu,-1.8283,-44.8683,23.47,98,95,0.13,BR,1711875585
89,quellon,-43.1167,-73.6167,6.27,88,10,2.11,CL,1711875586
90,caleta de carquin,-11.0925,-77.6267,21.87,87,98,3.8,PE,1711875586
91,qaqortoq,60.7167,-46.0333,-10.81,84,66,2.85,GL,1711875587
92,vadso,70.0744,29.7487,-3.51,74,100,5.66,NO,1711875587
93,slave lake,55.2834,-114.769,-6.01,68,0,0.0,CA,1711875499
94,mossel bay,-34.1831,22.146,27.96,59,32,5.68,ZA,1711875588
95,playa del ingles,27.7567,-15.5787,19.86,69,20,0.45,ES,1711875309
96,bowen,-20.0167,148.2333,26.11,71,17,6.04,AU,1711875589
97,ar ruways,24.1103,52.7306,25.45,43,100,2.95,AE,1711875589
98,new norfolk,-42.7826,147.0587,17.72,91,98,1.49,AU,1711875590
99,olonkinbyen,70.9221,-8.7187,-6.55,68,100,7.74,SJ,1711875590
100,port douglas,-16.4833,145.4667,25.7,79,52,5.32,AU,1711875591
101,mao,39.8885,4.2658,16.31,82,20,6.69,ES,1711875591
102,san luis,-33.295,-66.3356,16.51,47,90,7.1,AR,1711875591
103,enewetak,11.3474,162.3373,27.0,81,87,8.36,MH,1711875592
104,hawaiian paradise park,19.5933,-154.9731,20.02,97,93,4.42,US,1711875592
105,ulaangom,49.9811,92.0667,-0.14,98,100,2.28,MN,1711875593
106,iqaluit,63.7506,-68.5145,-2.15,74,100,10.29,CA,1711875513
107,aykhal,66.0,111.5,-8.78,84,73,9.94,RU,1711875593
108,avarua,-21.2078,-159.775,27.03,78,95,1.54,CK,1711875594
109,kanniyakumari,8.0833,77.5667,30.81,55,29,4.41,IN,1711875594
110,murghob,38.1702,73.9667,-0.74,25,6,14.18,TJ,1711875595
111,freetown,8.484,-13.2299,27.66,63,80,0.44,SL,1711875467
112,vorgashor,67.5833,63.95,-13.54,91,100,3.48,RU,1711875596
113,nouadhibou,20.931,-17.0347,16.99,88,60,6.17,MR,1711875596
114,san vicente,-26.6167,-54.1333,17.91,71,97,0.93,AR,1711875596
115,narayanpet,16.7333,77.5,38.39,14,1,4.02,IN,1711875597
116,alappuzha,9.49,76.3264,32.78,68,4,5.21,IN,1711875393
117,victorica,-36.2151,-65.4359,13.85,37,100,1.98,AR,1711875598
118,hadibu,12.65,54.0333,29.08,63,1,4.63,YE,1711875598
119,abra pampa,-22.7205,-65.697,9.35,80,3,2.73,AR,1711875599
120,ambovombe,-25.1667,46.0833,25.11,76,79,7.63,MG,1711875599
121,nhamunda,-2.1861,-56.7131,23.25,96,90,1.52,BR,1711875600
122,caluula,11.9661,50.7569,29.06,68,4,9.67,SO,1711875600
123,vila velha,-20.3297,-40.2925,24.41,98,75,1.54,BR,1711875483
124,cabo san lucas,22.8909,-109.9124,19.86,76,100,2.68,MX,1711875384
125,utrik,11.2278,169.8474,26.96,82,91,9.82,MH,1711875602
126,kohat,33.582,71.4493,22.04,31,1,1.74,PK,1711875602
127,keetmanshoop,-26.5833,18.1333,28.51,44,0,7.72,NA,1711875603
128,broome,42.2506,-75.833,2.48,99,30,1.58,US,1711875604
129,chernyshevskiy,63.0128,112.4714,-6.16,83,69,3.55,RU,1711875605
130,nuestra senora del rosario de caa cati,-27.7507,-57.6207,23.28,67,77,3.13,AR,1711875607
131,ribeira grande,38.5167,-28.7,11.22,71,40,3.13,PT,1711875607
132,dhuwaran,22.2333,72.8,35.19,11,13,5.02,IN,1711875608
133,yamba,-5.9,22.3,24.16,94,100,1.1,CD,1711875608
134,georgetown,5.4112,100.3354,31.97,66,20,5.66,MY,1711875538
135,ilulissat,69.2167,-51.1,-11.78,70,100,2.77,GL,1711875609
136,burang,30.25,81.1667,-0.69,80,93,3.82,CN,1711875610
137,ladek-zdroj,50.3437,16.8795,17.53,50,58,1.79,PL,1711875529
138,zinjibar,13.1287,45.3807,32.49,39,79,6.01,YE,1711875611
139,la'ie,21.6477,-157.9253,24.98,78,46,3.13,US,1711875611
140,lebu,-37.6167,-73.65,13.02,80,51,10.3,CL,1711875612
141,ancud,-41.8697,-73.8203,9.49,67,3,1.94,CL,1711875612
142,bikin,46.8161,134.26,0.53,68,100,3.55,RU,1711875613
143,badger,64.8,-147.5333,4.14,65,75,3.6,US,1711875613
144,jamestown,42.097,-79.2353,3.9,100,100,4.63,US,1711875489
